species;synonym.1
Pontoporia blainvillei;
Prionace glauca;
Pristis pectinata;
Pristis pristis;
Probarbus jullieni;
Pseudorca crassidens;
Aetomylaeus bovinus;Pteromylaeus bovinus
Pteroplatytrygon violacea;
Pusa caspica;
Pusa hispida;
Rachycentron canadum;
Beringraja binoculata;Raja binoculata
Regalecus glesne;
Rhina ancylostoma;
Rhincodon typus;
Glaucostegus cemiculus;Rhinobatos cemiculus
Rhynchobatus djiddensis;
Rita rita;
Rostroraja alba;
Ruvettus pretiosus;
Salmo salar;
Salmo trutta;
Sciades parkeri;
Sciaenops ocellatus;
Scomberomorus cavalla;
Scomberomorus commerson;
Seriola dumerili;
Seriola hippos;
Seriola lalandi;
Seriola rivoliana;
Silurus glanis;
Somniosus microcephalus;
Somniosus pacificus;
Sotalia guianensis;
Sousa chinensis;
Sousa teuszii;
Sphyraena afra;
Sphyraena barracuda;
Sphyrna lewini;
Sphyrna mokarran;
Sphyrna zygaena;
Squatina squatina;
Stenella attenuata;
Stenella clymene;
Stenella coeruleoalba;
Stenella frontalis;
Stenella longirostris;
Steno bredanensis;
Stereolepis doederleini;
Stereolepis gigas;
Taeniurops grabata;Taeniura grabata
Taeniurops meyeni;
Tasmacetus shepherdi;
Tetrapturus angustirostris;
Tetrapturus belone;
Tetrapturus pfluegeri;
Thunnus alalunga;
Thunnus albacares;
Thunnus maccoyii;
Thunnus obesus;
Thunnus orientalis;
Thunnus thynnus;
Thyrsitoides marleyi;
Tetronarce nobiliana;Torpedo nobiliana
Totoaba macdonaldi;
Trachipterus arcticus;
Trichechus manatus;
Trichechus senegalensis;
Tridacna gigas;
Tursiops aduncus;
Tursiops truncatus;
Ursus maritimus;
Wallago attu;
Xiphias gladius;
Zalophus californianus;
Zalophus wollebaeki;
Ziphius cavirostris;
